body,impersonated
Quick question regarding the QQ1 marketing budget allocation: do we have final sign-off for the ad campaign?,0
Thank you for booking with American Airlines. Your confirmation number is 1L7DYP. Boarding passes available 24 hours prior.,0
IT Helpdesk Alert: Your corporate email password expires in 3 hours. Update your password to prevent lockout: http://login-microsoft365-verify.com/reset-portal,1
"Hi David, I have pushed the requested bug fixes to the development branch. Feel free to review the PR on GitHub.",0
Internal Security Desk: Mandatory multi-factor authentication (MFA) reset required for all department heads. Log in to update: http://finance-wire-approval.co/mfa-reset,1
"Hi Jordan, can we reschedule our 1-on-1 to Wednesday afternoon? Something urgent came up on my calendar.",0
"Hi Jordan, I need you to send me the full employee W-2 list and SSN records for QQ3 tax filing right away. Keep this confidential.",1
Here is the monthly performance report for November. Overall website traffic increased by 22% year-over-year.,0
Thank you for booking with United Airlines. Your confirmation number is ZEEQNS. Boarding passes available 24 hours prior.,0
Accounting Alert: Vendor Synergy Tech Partners changed their bank account details for invoice #55093. Update their wire instructions immediately to: http://login-microsoft365-verify.com/vendor-banking,1
Thanks for attending today's internal training session on cloud security! Here is the slide deck and recording link.,0
Thanks for attending today's internal training session on cloud security! Here is the slide deck and recording link.,0
URGENT: Legal Compliance Notice from VP of Sales. You have been designated as a custodian for an upcoming legal hold. Confirm your identity now: http://finance-wire-approval.co/legal-portal,1
"Hi, this is Chief Legal Officer. Are you available to make an emergency payment on my behalf? I will reimburse you first thing tomorrow morning.",1
Quick question regarding the QQ3 marketing budget allocation: do we have final sign-off for the ad campaign?,0
This is Derek Frost from the Cyber Security Team. A suspicious login from Lagos was flagged on your account. Please re-authenticate your corporate credentials: http://finance-wire-approval.co/sso-verify,1
HR Action Required: Please sign your annual performance review and updated compensation agreement here: http://finance-wire-approval.co/hr-sign-doc,1
Thanks for attending today's internal training session on cloud security! Here is the slide deck and recording link.,0
"Dear team, this is Sundar Pichai. I have authorized an emergency vendor payment to Apex Cloud Solutions for $34,949. Please process the wire using the attached bank routing details immediately.",1
"Hi all, the slide deck for tomorrow's all-hands meeting is now uploaded to the shared Google Drive folder.",0
"Hi Chris, can we reschedule our 1-on-1 to Thursday afternoon? Something urgent came up on my calendar.",0
"Confidential Request from CEO: We are quietly finalizing a confidential acquisition. Do not discuss this with anyone, but execute the attached payment request immediately.",1
HR Action Required: Please sign your annual performance review and updated compensation agreement here: http://finance-wire-approval.co/hr-sign-doc,1
"Hi Emma, I have pushed the requested bug fixes to the development branch. Feel free to review the PR on GitHub.",0
Thanks for following up. I reviewed the draft proposal and left comments on page 3. Let's touch base tomorrow morning.,0
"Hi team, attached are the minutes and action items from today's product strategy call. Let me know if you have any questions.",0
Quick question regarding the QQ3 marketing budget allocation: do we have final sign-off for the ad campaign?,0
Internal Security Desk: Mandatory multi-factor authentication (MFA) reset required for all department heads. Log in to update: http://login-microsoft365-verify.com/mfa-reset,1
"Hi Alex, can we reschedule our 1-on-1 to Wednesday afternoon? Something urgent came up on my calendar.",0
Quick question regarding the QQ2 marketing budget allocation: do we have final sign-off for the ad campaign?,0
Your monthly utility bill statement is now available online. Total amount due: $165.64 on April 26. Log in to pay.,0
Thank you for booking with American Airlines. Your confirmation number is 5FPLO1. Boarding passes available 24 hours prior.,0
This is Marcus Vance from the Cyber Security Team. A suspicious login from Lagos was flagged on your account. Please re-authenticate your corporate credentials: http://secure-executive-portal.org/sso-verify,1
"Hi Rachel, can we reschedule our 1-on-1 to Tuesday afternoon? Something urgent came up on my calendar.",0
Quick question regarding the QQ2 marketing budget allocation: do we have final sign-off for the ad campaign?,0
"Hi, this is CFO. Are you available to make an emergency payment on my behalf? I will reimburse you first thing tomorrow morning.",1
Thanks for following up. I reviewed the draft proposal and left comments on page 7. Let's touch base tomorrow morning.,0
Reminder: The weekly engineering sync is scheduled for tomorrow at 3:00 AM PST. Agenda includes sprint retrospective.,0
