body,suspious
"Account Warning: Someone in Beijing requested to change your password. If this was not you, secure your account: http://login-sso-verify.co/secure-account",1
Security Alert: Unregistered device logged into your PayPal account. Reset your password immediately: http://secure-verify-login.com/reset-password,1
Your monthly utility bill statement is now available. Total amount due: $78.25 on August 3. Log in to pay.,0
"Account Warning: Someone in Beijing requested to change your password. If this was not you, secure your account: http://account-update-portal.net/secure-account",1
URGENT: Your Capital One account access has been temporarily suspended due to unusual login attempts from IP 151.59.151.57. Verify now: http://secure-verify-login.com/verify-account,1
Tax Refund Notification: You are eligible for an official tax refund of $561. Submit your claim form: http://billing-service-renew.info/tax-refund,1
"Hi team, attached are the notes and action items from today's project call. Let me know if you have any questions.",0
Thanks for following up. I reviewed the draft document and left comments on page 6. Let's discuss tomorrow.,0
Here is the monthly performance report for December. Overall traffic increased by 12% year-over-year. Full details in the file.,0
"Hi Alex, can we reschedule our 1-on-1 to Wednesday afternoon? Something urgent came up on my schedule.",0
"Account Warning: Someone in Moscow requested to change your password. If this was not you, secure your account: http://billing-service-renew.info/secure-account",1
URGENT: Your Chase account access has been temporarily suspended due to unusual login attempts from IP 76.46.149.247. Verify now: http://auth-identity-check.org/verify-account,1
"Dear User, Your mailbox storage capacity is 92% full. Upgrade your mailbox quota now to continue receiving emails: http://secure-verify-login.com/upgrade-storage",1
IT Support Desk: Mandatory security patch installation required. Log in with your SSO credentials: http://account-update-portal.net/sso-login,1
Please find attached the signed contract for the upcoming vendor partnership. We look forward to working together.,0
"Hi all, the slide deck for tomorrow's all-hands meeting is now uploaded to the shared team folder.",0
"Hi Chris, I have pushed the requested bug fixes to the development branch. Feel free to review the PR.",0
Thank you for booking with Delta Air Lines. Your confirmation number is 06XKXB. Boarding passes available 24 hours prior.,0
FINAL NOTICE: Your invoice #71993 is overdue by 28 days. Settle payment immediately to avoid legal action: http://login-sso-verify.co/pay-invoice,1
FINAL NOTICE: Your invoice #66531 is overdue by 5 days. Settle payment immediately to avoid legal action: http://login-sso-verify.co/pay-invoice,1
Your monthly utility bill statement is now available. Total amount due: $249.30 on June 14. Log in to pay.,0
